precisoin,
pmi_type,topK=1000,topK=2000,topK=3000,topK=4000,topK=5000,topK=6000,topK=7000,topK=8000,topK=9000,topK=10000,
pmi_exact,0.9810,0.9650,0.9557,0.9440,0.9268,0.9088,0.8864,0.8691,0.8487,0.8265,
pmi_high,0.9810,0.9570,0.9437,0.9255,0.9066,0.8835,0.8640,0.8433,0.8220,0.8019,
pmi_laohu,0.9700,0.9525,0.9323,0.9143,0.8914,0.8642,0.8410,0.8204,0.7967,0.7751,
pmi_shy1,0.9700,0.9525,0.9323,0.9143,0.8914,0.8642,0.8409,0.8204,0.7967,0.7751,
pmi_shy2,0.9700,0.9525,0.9323,0.9143,0.8914,0.8642,0.8409,0.8204,0.7967,0.7751,

recall,
pmi_type,topK=1000,topK=2000,topK=3000,topK=4000,topK=5000,topK=6000,topK=7000,topK=8000,topK=9000,topK=10000,
pmi_exact,0.0168,0.0330,0.0490,0.0646,0.0793,0.0933,0.1061,0.1189,0.1306,0.1414,
pmi_high,0.0168,0.0327,0.0484,0.0633,0.0775,0.0907,0.1034,0.1154,0.1265,0.1372,
pmi_laohu,0.0166,0.0326,0.0478,0.0626,0.0762,0.0887,0.1007,0.1123,0.1226,0.1326,
pmi_shy1,0.0166,0.0326,0.0478,0.0626,0.0762,0.0887,0.1007,0.1123,0.1226,0.1326,
pmi_shy2,0.0166,0.0326,0.0478,0.0626,0.0762,0.0887,0.1007,0.1123,0.1226,0.1326,

f-measure,
pmi_type,topK=1000,topK=2000,topK=3000,topK=4000,topK=5000,topK=6000,topK=7000,topK=8000,topK=9000,topK=10000,
pmi_exact,0.0330,0.0638,0.0933,0.1209,0.1460,0.1692,0.1896,0.2092,0.2264,0.2414,
pmi_high,0.0330,0.0633,0.0921,0.1185,0.1429,0.1645,0.1848,0.2030,0.2193,0.2343,
pmi_laohu,0.0326,0.0630,0.0910,0.1171,0.1405,0.1609,0.1799,0.1975,0.2126,0.2264,
pmi_shy1,0.0326,0.0630,0.0910,0.1171,0.1405,0.1609,0.1798,0.1975,0.2126,0.2264,
pmi_shy2,0.0326,0.0630,0.0910,0.1171,0.1405,0.1609,0.1798,0.1975,0.2126,0.2264,

